Lithiation,OCV
0.031296231,1.0828806999999998
0.034999017,0.99593794
0.038701797999999996,0.90023398
0.042404576,0.79649431
0.046107357,0.73354429
0.049810147,0.66664314
0.053512917,0.64137149
0.05721568,0.59813869
0.06091845,0.5670835999999999
0.064621218,0.54746181
0.06832399,0.53068399
0.072026752,0.51304734
0.075729512,0.49394092
0.079432272,0.47926274
0.083135031,0.46065259
0.086837786,0.45992726
0.090540544,0.43801501
0.094243312,0.42438665
0.09794607,0.41150269
0.101648825,0.40033659
0.105351579,0.38957134
0.109054336,0.37756538
0.11275709699999999,0.36292541
0.116459849,0.34357086
0.120162608,0.34063140000000003
0.123865357,0.32299468
0.12756811199999998,0.31379458
0.13127086400000001,0.30795386
0.134973621,0.29207319
0.13867638300000001,0.28697687
0.14237913,0.27405477
0.14608189,0.26704970000000006
0.14978465,0.25857493
0.153487405,0.25265783
0.157190176,0.24826777
0.160892939,0.24143449999999997
0.16459570099999998,0.23362778
0.16829847,0.22956218
0.17200122399999998,0.22370236
0.175703988,0.22181271
0.17940673899999998,0.22089651
0.183109501,0.2194268
0.18681228600000002,0.21830064
0.190515044,0.21830064
0.194217798,0.21753715
0.19792056100000002,0.21719357
0.201623338,0.21635373
0.20532609999999998,0.21635373
0.209028863,0.21635373
0.212731638,0.21469313
0.2164344,0.21469313
0.220137159,0.21465495
0.22383993300000002,0.21354789999999998
0.227542705,0.21354789999999998
0.231245473,0.21074206
0.234948247,0.20873788
0.238651007,0.20465319
0.24235377100000002,0.20205732
0.246056535,0.19774358
0.24975929600000002,0.19444147
0.253462075,0.19190285
0.257164856,0.18850531
0.260867623,0.18581399
0.264570388,0.18327537
0.268273142,0.18157659
0.27197589899999997,0.17814088
0.27567867100000004,0.17529686
0.279381438,0.1719375
0.283084209,0.16934161
0.28678698399999997,0.16756649
0.290489741,0.16609676
0.294192511,0.16414985
0.297895288,0.16260378
0.301598064,0.16224113
0.30530083,0.160027
0.30900360600000004,0.15827096
0.312706366,0.15827096
0.316409129,0.15552238
0.320111892,0.15552238
0.32381465800000003,0.15220118
0.32751744,0.1511132
0.331220205,0.14987253
0.334922968,0.14874637
0.33862575100000003,0.14678037
0.34232852799999997,0.14620776
0.34603131,0.14555879
0.349734084,0.14389819
0.353436855,0.14359279
0.357139628,0.14242846
0.36084241200000006,0.14038612
0.364545175,0.13882096
0.368247948,0.13882096
0.371950715,0.13882096
0.37565348200000004,0.13780934
0.37935626,0.13780934
0.383059045,0.13698858
0.38676182,0.13523254
0.390464597,0.13441178
0.39416737399999996,0.13441178
0.397870147,0.13441178
0.40157291100000003,0.13441178
0.405275674,0.13441178
0.408978444,0.13435452
0.412681205,0.1334765
0.41638398200000004,0.1334765
0.42008676100000003,0.13275118
0.42378952799999997,0.13275118
0.427492296,0.13263667
0.431195061,0.13263667
0.434897837,0.13263667
0.43860061100000003,0.13263667
0.442303382,0.13263667
0.446006148,0.13263667
0.449708926,0.13263667
0.453411684,0.13259849
0.45711444100000004,0.13259849
0.46081719299999996,0.13259849
0.464519943,0.13259849
0.468222694,0.13259849
0.471925449,0.13259849
0.475628215,0.13259849
0.479330982,0.13259849
0.483033747,0.13259849
0.48673651100000004,0.13225491
0.49043926299999996,0.13225491
0.494142033,0.13225491
0.49784481700000005,0.13187316
0.501547588,0.13187316
0.505250356,0.13187316
0.508953106,0.13187316
0.512655855,0.13187316
0.516358615,0.13187316
0.5200613860000001,0.13187316
0.523764154,0.13187316
0.527466922,0.13187316
0.531169691,0.13145325
0.534872451,0.13145325
0.5385752070000001,0.13145325
0.542277974,0.1313578
0.54598074,0.1313578
0.549683501,0.13120511
0.55338627,0.13089971
0.55708902,0.13089971
0.560791784,0.13082336
0.5644945370000001,0.13011713
0.5681972989999999,0.129869
0.571900057,0.129869
0.575602818,0.12942998
0.579305582,0.12796026
0.583008351,0.12796026
0.586711119,0.12656689
0.590413886,0.12656689
0.594116642,0.12509716
0.597819412,0.12110791
0.6015221820000001,0.11839751
0.605224955,0.11244226
0.608927724,0.11244226
0.6126304779999999,0.1092165
0.61633325,0.10683058
0.620036027,0.10433014
0.623738798,0.10433014
0.627441562,0.10056993
0.631144326,0.099501044
0.634847115,0.098546676
0.638549884,0.098546676
0.6422526510000001,0.095416352
0.64595543,0.095416352
0.6496582320000001,0.095416352
0.653361005,0.095416352
0.657063775,0.095416352
0.660766564,0.095416352
0.6644693389999999,0.094309285
0.668172119,0.094309285
0.671874891,0.09366031699999999
0.67557767,0.09366031699999999
0.679280441,0.09366031699999999
0.68298322,0.09316404199999999
0.6866860020000001,0.09316404199999999
0.6903887790000001,0.093087696
0.694091555,0.093087696
0.697794325,0.093087696
0.701497094,0.093087696
0.705199875,0.093087696
0.7089026390000001,0.092915908
0.712605404,0.092915908
0.716308185,0.092629597
0.720010954,0.092629597
0.7237137109999999,0.09261051599999999
0.727416484,0.092495985
0.731119252,0.092400551
0.734822036,0.092400551
0.7385248000000001,0.09209515199999999
0.742227568,0.09209515199999999
0.74593034,0.09209515199999999
0.7496331190000001,0.09209515199999999
0.7533358920000001,0.09209515199999999
0.757038685,0.09209515199999999
0.76074146,0.09209515199999999
0.764444224,0.09209515199999999
0.768146984,0.09209515199999999
0.77184976,0.09209515199999999
0.7755525329999999,0.091656148
0.779255308,0.091598883
0.782958073,0.091598883
0.786660853,0.091598883
0.7903636390000001,0.091598883
0.7940664070000001,0.091598883
0.7977691809999999,0.091598883
0.801471972,0.091598883
0.80517474,0.091598883
0.808877513,0.091598883
0.812580278,0.091598883
0.816283043,0.091598883
