Lithiation,OCV
0.022359222999999998,1.99733612
0.032468633,1.8924238919999998
0.050652315999999996,1.677494995
0.070875034,1.4753431540000002
0.09415046,1.280847975
0.12048379,1.104239611
0.160019523,0.909659358
0.208738068,0.7866423140000001
0.276772227,0.676311935
0.343803112,0.591562252
0.422023356,0.527214384
0.528700439,0.465275175
0.610996157,0.421366342
0.698360225,0.35185554399999996
0.805039907,0.295031411
0.867018037,0.266574149
0.8924130720000001,0.243423379
0.915774269,0.217725705
0.9350638920000001,0.17926161100000002
0.942155684,0.135746245
0.9451590059999999,0.046216466
