Lithiation,OCV
0.008782574788544023,0.4965753424657534
0.013669476361754612,0.43493150684931503
0.019363573086692367,0.36757990867579904
0.030669771543728824,0.2842465753424657
0.0459536382089378,0.2089041095890411
0.04995499385948607,0.20205479452054792
0.09465684184441356,0.1963470319634703
0.10743348383969796,0.1917808219178082
0.12900545540019026,0.1769406392694064
0.1705586956600961,0.14383561643835613
0.1889255740560554,0.13698630136986295
0.20410740250795356,0.12557077625570773
0.21688586661418985,0.11986301369863014
0.2408375150779681,0.1141552511415525
0.2998994194754506,0.11187214611872144
0.3988655537212972,0.1095890410958904
0.467513583837147,0.10159817351598173
0.4986479936736306,0.0958904109589041
0.5090285597670613,0.09246575342465753
0.5178129566665574,0.08904109589041098
0.5274009044958765,0.08219178082191786
0.5377832927002589,0.07762557077625576
0.6016318825685932,0.07648401826484019
0.7013979235223591,0.07305936073059355
0.7995732616150459,0.06621004566210043
0.9009464044284584,0.05593607305936077
0.9736067228605684,0.03424657534246578
0.9983692106979776,0.02054794520547953
