,RMSE,Fullcell,Halfcell Anode,Halfcell Cathode,Solution
0,512.2339971947343,LFP,"Graphite, Birkl2015","LCO, Doyle2003",[-1.34969759e-17  7.00000000e-01  6.93889390e-18  7.00000000e-01]
1,472.1018515716028,LFP,"Graphite, Birkl2015","LCO, Jiang2016",[-7.30318584e-20  7.00000000e-01  1.50000000e-04  7.00000000e-01]
2,471.9827827239276,LFP,"Graphite, Birkl2015","LCO, Kumaresan2008",[ 5.55111512e-17  7.00000000e-01 -5.20417043e-17  7.00000000e-01]
3,467.48514486644535,LFP,"Graphite, Birkl2015","LCO, Tang2019",[ 2.77555756e-17  7.00000000e-01 -6.07153217e-17  7.00000000e-01]
4,672.4090564601552,LFP,"Graphite, Birkl2015","LFP, Delacourt2011",[-5.55111512e-17  7.00000000e-01 -8.54704023e-17  7.00000000e-01]
5,672.4090564601552,LFP,"Graphite, Birkl2015","LFP, Farkhondeh2014",[-5.55111512e-17  7.00000000e-01 -8.54704023e-17  7.00000000e-01]
6,715.1704106436182,LFP,"Graphite, Birkl2015","LFP, Kashkooli2016",[0.00000000e+00 7.00000000e-01 1.58753187e-18 7.00000000e-01]
7,25.34369241254807,LFP,"Graphite, Birkl2015","LFP, Prada2012",[0.17704272 1.         0.04051194 1.        ]
8,41.518710853372134,LFP,"Graphite, Birkl2015","LFP, Srinivasan2004a",[ 2.88997158e-02  1.00000000e+00 -2.24256183e-20  1.00000000e+00]
9,672.4090564601552,LFP,"Graphite, Birkl2015","LFP, Thorat2011",[-5.55111512e-17  7.00000000e-01 -8.54704023e-17  7.00000000e-01]
10,487.8623534306333,LFP,"Graphite, Birkl2015","LMO, Albertus2009",[ 5.47109375e-03  7.00000000e-01 -1.92704542e-22  7.00000000e-01]
11,430.3894771572168,LFP,"Graphite, Birkl2015","LMO, Das2004",[0.00254141 0.7        0.         0.7       ]
12,550.4347006774827,LFP,"Graphite, Birkl2015","LMO, Doyle1996",[3.86398576e-17 7.00000000e-01 1.38777878e-17 7.00000000e-01]
13,616.6850902862758,LFP,"Graphite, Birkl2015","NCA, Abraham2008",[-1.00184344e-16  7.00000000e-01 -9.18576718e-17  7.00000000e-01]
14,269.2654675923411,LFP,"Graphite, Birkl2015","NCA, Albertus2009",[ 2.05705437e-02  7.00000000e-01 -6.09024252e-23  7.00000000e-01]
15,609.2769768435003,LFP,"Graphite, Birkl2015","NCA, Dees2008",[-1.11022302e-16  7.00000000e-01 -1.14491749e-16  7.00000000e-01]
16,190.16561018362688,LFP,"Graphite, Birkl2015","NCA, Hust2019",[1.45671438e-02 7.00000000e-01 4.33675700e-23 7.00000000e-01]
17,681.73942113353,LFP,"Graphite, Birkl2015","NCA, Kim2011",[-1.11022302e-16  7.00000000e-01 -9.05610924e-17  7.00000000e-01]
18,425.0773062571656,LFP,"Graphite, Birkl2015","NCO46, Ecker2015",[ 2.77555756e-17  7.00000000e-01 -7.71858701e-17  7.00000000e-01]
19,398.82848604554243,LFP,"Graphite, Birkl2015","NMC, Birkl2015",[ 2.77555756e-17  7.00000000e-01 -5.03069808e-17  7.00000000e-01]
20,279.2699844020243,LFP,"Graphite, Birkl2015","NMC, Dufour2018",[ 2.77555756e-17  7.00000000e-01 -7.28583860e-17  7.00000000e-01]
21,468.3369542450692,LFP,"Graphite, Birkl2015","NMC, Ferraro2020",[-6.35274710e-22  7.00000000e-01  4.99646145e-05  7.00000000e-01]
22,333.425125768697,LFP,"Graphite, Birkl2015","NMC, Liebig2019",[-2.77555756e-17  7.00000000e-01 -4.68375339e-17  7.00000000e-01]
23,672.4090564601552,LFP,"Graphite, Birkl2015","NMC, Smith2006",[-5.55111512e-17  7.00000000e-01 -8.54704023e-17  7.00000000e-01]
24,314.19500691167065,LFP,"Graphite, Birkl2015","NMC111, Ko2019",[ 5.55111512e-17  7.00000000e-01 -3.98986399e-17  7.00000000e-01]
25,252.59514904766493,LFP,"Graphite, Birkl2015","NMC111, Schmalstieg2018",[ 2.90015625e-02  7.00000000e-01 -1.23259516e-32  7.00000000e-01]
26,137.62122016422146,LFP,"Graphite, Birkl2015","NMC111, Wu2012",[0.01646261 0.7        0.22064853 0.7       ]
27,488.6961680598231,LFP,"Graphite, Birkl2015","NMC523, Verma2017",[ 0.00000000e+00  7.00000000e-01 -5.03069808e-17  7.00000000e-01]
28,352.3296170611301,LFP,"Graphite, Birkl2015","NMC622, Chaouachi2021",[-1.04083409e-16  7.00000000e-01 -1.14801402e-16  7.00000000e-01]
29,175.04230459067116,LFP,"Graphite, Birkl2015","NMC622, Gao2018",[0.16380205 0.7        0.00575941 0.7       ]
30,371.4130939105214,LFP,"Graphite, Birkl2015","NMC811, Chen2020",[-9.1562834e-17  7.0000000e-01 -9.1562834e-17  7.0000000e-01]
31,264.22589598729746,LFP,"Graphite, Birkl2015","NMC811, Sturm2019",[0.01680156 0.7        0.         0.7       ]
32,511.0627488594407,LFP,"Graphite, Chaouachi2021","LCO, Doyle2003",[-1.46367293e-17  7.00000000e-01 -1.46338257e-17  7.00000000e-01]
33,470.80981326555155,LFP,"Graphite, Chaouachi2021","LCO, Jiang2016",[-9.71445147e-17  7.00000000e-01 -8.02691198e-17  7.00000000e-01]
34,470.17235278349955,LFP,"Graphite, Chaouachi2021","LCO, Kumaresan2008",[-8.48641614e-17  7.00000000e-01 -8.58848106e-17  7.00000000e-01]
35,466.5864838297003,LFP,"Graphite, Chaouachi2021","LCO, Tang2019",[-3.44776291e-17  7.00000000e-01 -2.77555756e-17  7.00000000e-01]
36,671.3986562483287,LFP,"Graphite, Chaouachi2021","LFP, Delacourt2011",[-2.77555756e-16  7.00000000e-01 -2.22044605e-16  7.00000000e-01]
37,671.3986562483287,LFP,"Graphite, Chaouachi2021","LFP, Farkhondeh2014",[-2.77555756e-16  7.00000000e-01 -2.22044605e-16  7.00000000e-01]
38,714.5026985203731,LFP,"Graphite, Chaouachi2021","LFP, Kashkooli2016",[-2.77555756e-16  7.00000000e-01 -2.22044605e-16  7.00000000e-01]
39,24.365580710689986,LFP,"Graphite, Chaouachi2021","LFP, Prada2012",[0.13647152 0.74257316 0.04457591 1.        ]
40,16.773272019048154,LFP,"Graphite, Chaouachi2021","LFP, Srinivasan2004a",[0.00430338 1.         0.29998601 1.        ]
41,671.3986562483287,LFP,"Graphite, Chaouachi2021","LFP, Thorat2011",[-2.77555756e-16  7.00000000e-01 -2.22044605e-16  7.00000000e-01]
42,486.26700594202083,LFP,"Graphite, Chaouachi2021","LMO, Albertus2009",[-3.46944695e-22  7.00000000e-01  1.02020082e-03  7.00000000e-01]
43,429.1708963408347,LFP,"Graphite, Chaouachi2021","LMO, Das2004",[ 3.44140625e-04  7.00000000e-01 -8.17903558e-17  7.00000000e-01]
44,549.3353654990536,LFP,"Graphite, Chaouachi2021","LMO, Doyle1996",[-3.92983916e-17  7.00000000e-01  3.46944695e-17  7.00000000e-01]
45,615.9702971903153,LFP,"Graphite, Chaouachi2021","NCA, Abraham2008",[ 3.44140625e-04  7.00000000e-01 -8.61595563e-17  7.00000000e-01]
46,268.2474219256965,LFP,"Graphite, Chaouachi2021","NCA, Albertus2009",[ 1.75781250e-02  7.00000000e-01 -8.67361738e-23  7.00000000e-01]
47,608.6272128006647,LFP,"Graphite, Chaouachi2021","NCA, Dees2008",[-9.71445147e-17  7.00000000e-01 -1.16812117e-16  7.00000000e-01]
48,190.24229623680571,LFP,"Graphite, Chaouachi2021","NCA, Hust2019",[ 1.28953125e-02  7.00000000e-01 -3.67816508e-35  7.00000000e-01]
49,681.0173865070258,LFP,"Graphite, Chaouachi2021","NCA, Kim2011",[-1.66533454e-16  7.00000000e-01 -1.11022302e-16  7.00000000e-01]
50,424.01030255273986,LFP,"Graphite, Chaouachi2021","NCO46, Ecker2015",[-1.38777878e-16  7.00000000e-01 -9.84955827e-17  7.00000000e-01]
51,397.56254052362203,LFP,"Graphite, Chaouachi2021","NMC, Birkl2015",[-1.11022302e-16  7.00000000e-01 -8.89191323e-17  7.00000000e-01]
52,278.02206239098246,LFP,"Graphite, Chaouachi2021","NMC, Dufour2018",[-5.33879107e-18  7.00000000e-01 -3.07994957e-18  7.00000000e-01]
53,467.0313669617094,LFP,"Graphite, Chaouachi2021","NMC, Ferraro2020",[-1.52655666e-16  7.00000000e-01 -1.33655023e-16  7.00000000e-01]
54,332.4568784210854,LFP,"Graphite, Chaouachi2021","NMC, Liebig2019",[-1.11022302e-16  7.00000000e-01 -8.69552478e-17  7.00000000e-01]
55,671.3986562483287,LFP,"Graphite, Chaouachi2021","NMC, Smith2006",[-2.77555756e-16  7.00000000e-01 -2.22044605e-16  7.00000000e-01]
56,313.275580083283,LFP,"Graphite, Chaouachi2021","NMC111, Ko2019",[-4.37763367e-17  7.00000000e-01 -4.07771885e-17  7.00000000e-01]
57,251.97816161220592,LFP,"Graphite, Chaouachi2021","NMC111, Schmalstieg2018",[ 2.69418576e-02  7.00000000e-01 -6.28644568e-24  7.00000000e-01]
58,137.09210010880506,LFP,"Graphite, Chaouachi2021","NMC111, Wu2012",[0.01272502 0.7        0.22719028 0.7       ]
59,487.84656178172503,LFP,"Graphite, Chaouachi2021","NMC523, Verma2017",[-4.36480188e-20  7.00000000e-01 -2.16840434e-19  7.00000000e-01]
60,351.51977747263504,LFP,"Graphite, Chaouachi2021","NMC622, Chaouachi2021",[-9.49067509e-17  7.00000000e-01 -7.73623261e-17  7.00000000e-01]
61,175.70606053424385,LFP,"Graphite, Chaouachi2021","NMC622, Gao2018",[0.14732338 0.7        0.00769388 0.7       ]
62,370.7465384970741,LFP,"Graphite, Chaouachi2021","NMC811, Chen2020",[-2.22044605e-16  7.00000000e-01 -2.23688327e-16  7.00000000e-01]
63,263.21800080285374,LFP,"Graphite, Chaouachi2021","NMC811, Sturm2019",[ 1.53677243e-02  7.00000000e-01 -6.12363327e-21  7.00000000e-01]
64,486.2191650211529,LFP,"Graphite, Dufour2018","LCO, Doyle2003",[-1.66533454e-16  7.00000000e-01 -1.40078921e-16  7.00000000e-01]
65,446.864668462408,LFP,"Graphite, Dufour2018","LCO, Jiang2016",[ 7.74098113e-19  7.00000000e-01 -3.59824521e-18  7.00000000e-01]
66,442.3049632614564,LFP,"Graphite, Dufour2018","LCO, Kumaresan2008",[ 5.55111512e-17  7.00000000e-01 -5.20417043e-17  7.00000000e-01]
67,449.6727603367316,LFP,"Graphite, Dufour2018","LCO, Tang2019",[ 5.55111512e-17  7.00000000e-01 -5.03069808e-17  7.00000000e-01]
68,645.2481504627467,LFP,"Graphite, Dufour2018","LFP, Delacourt2011",[-1.94289029e-16  7.00000000e-01 -2.22044605e-16  7.00000000e-01]
69,645.2481504627467,LFP,"Graphite, Dufour2018","LFP, Farkhondeh2014",[-1.94289029e-16  7.00000000e-01 -2.22044605e-16  7.00000000e-01]
70,692.851445058815,LFP,"Graphite, Dufour2018","LFP, Kashkooli2016",[-8.32667268e-17  7.00000000e-01 -7.80625564e-17  7.00000000e-01]
71,32.8212936157969,LFP,"Graphite, Dufour2018","LFP, Prada2012",[0.2        1.         0.04303097 1.        ]
72,47.7771973609519,LFP,"Graphite, Dufour2018","LFP, Srinivasan2004a",[-4.81482486e-35  1.00000000e+00  2.67464847e-01  1.00000000e+00]
73,645.2481504627467,LFP,"Graphite, Dufour2018","LFP, Thorat2011",[-1.94289029e-16  7.00000000e-01 -2.22044605e-16  7.00000000e-01]
74,454.1875458021438,LFP,"Graphite, Dufour2018","LMO, Albertus2009",[-6.93889390e-17  7.00000000e-01 -8.51895776e-17  7.00000000e-01]
75,398.9314432402932,LFP,"Graphite, Dufour2018","LMO, Das2004",[-5.67037736e-17  7.00000000e-01 -7.33325005e-17  7.00000000e-01]
76,523.9203870586025,LFP,"Graphite, Dufour2018","LMO, Doyle1996",[-1.38777878e-17  7.00000000e-01 -6.17995238e-18  7.00000000e-01]
77,588.0268284364694,LFP,"Graphite, Dufour2018","NCA, Abraham2008",[-8.90279708e-17  7.00000000e-01 -8.79871368e-17  7.00000000e-01]
78,236.23501350924576,LFP,"Graphite, Dufour2018","NCA, Albertus2009",[ 2.72968750e-03  7.00000000e-01 -1.10031626e-21  7.00000000e-01]
79,588.3235983609709,LFP,"Graphite, Dufour2018","NCA, Dees2008",[-6.93889390e-17  7.00000000e-01 -1.11022302e-16  7.00000000e-01]
