,RMSE,Fullcell,Halfcell Anode,Halfcell Cathode,Solution
0,89.66730549905158,NMC,"Graphite, Birkl2015","LCO, Jiang2016",[-9.62964972e-35  7.00000000e-01  9.11684844e-03  1.00000000e+00]
1,80.53537982011436,NMC,"Graphite, Birkl2015","LCO, Kumaresan2008",[9.60278874e-03 9.80711932e-01 6.93889390e-22 1.00000000e+00]
2,94.53060958931381,NMC,"Graphite, Birkl2015","LCO, Tang2019",[0.         0.7        0.32119844 1.        ]
3,158.84161789880957,NMC,"Graphite, Birkl2015","LFP, Farkhondeh2014",[-2.71050543e-20  7.00000000e-01  7.25679148e-03  7.00000000e-01]
4,158.84161789880957,NMC,"Graphite, Birkl2015","LFP, Kaputt",[-2.71050543e-20  7.00000000e-01  7.25679148e-03  7.00000000e-01]
5,193.08824656036876,NMC,"Graphite, Birkl2015","LFP, Kashkooli2016",[-8.32667268e-17  7.00000000e-01 -2.77555756e-17  7.00000000e-01]
6,560.9896188111817,NMC,"Graphite, Birkl2015","LFP, Prada2012",[0.2 1.  0.4 1. ]
7,158.84161789880957,NMC,"Graphite, Birkl2015","LFP, Thorat2011",[-2.71050543e-20  7.00000000e-01  7.25679148e-03  7.00000000e-01]
8,88.62216793720752,NMC,"Graphite, Birkl2015","LMO, Albertus2009",[0.02314888 0.92857847 0.00109177 1.        ]
9,50.619503872345,NMC,"Graphite, Birkl2015","LMO, Das2004",[0.00691998 1.         0.05013826 1.        ]
10,84.87030995542992,NMC,"Graphite, Birkl2015","LMO, Doyle1996",[2.50939800e-21 7.00000000e-01 1.72331352e-01 7.09336683e-01]
11,108.05344644180602,NMC,"Graphite, Birkl2015","NCA, Abraham2008",[0.16028745 0.7        0.05812428 0.7       ]
12,74.31656310048425,NMC,"Graphite, Birkl2015","NCA, Albertus2009",[0.  1.  0.4 1. ]
13,94.00219831390255,NMC,"Graphite, Birkl2015","NCA, Dees2008",[0.         0.7        0.00575937 0.7       ]
14,139.68671828990014,NMC,"Graphite, Birkl2015","NCA, Hust2019",[0.00396894 1.         0.4        0.99848566]
15,165.1034246731394,NMC,"Graphite, Birkl2015","NCA, Kim2011",[5.55111512e-17 7.00000000e-01 0.00000000e+00 7.00000000e-01]
16,47.91458591315,NMC,"Graphite, Birkl2015","NCO46, Ecker2015",[0.00393631 0.98072697 0.102631   0.84425853]
17,54.69298333605275,NMC,"Graphite, Birkl2015","NMC, Birkl2015",[0.00378448 0.99037744 0.06573693 0.99900037]
18,119.62136195725883,NMC,"Graphite, Birkl2015","NMC, Dufour2018",[-1.22805948e-17  1.00000000e+00  4.00000000e-01  1.00000000e+00]
19,51.40591741494131,NMC,"Graphite, Birkl2015","NMC, Liebig2019",[0.         0.71767812 0.4        1.        ]
