,RMSE,Fullcell,Halfcell Anode,Halfcell Cathode,Solution
33,463.39478322966477,LFP-HighV,"Graphite, Birkl2015","NMC811, Sturm2019",[-1.04083409e-17  7.00000000e-01 -6.93889390e-18  7.00000000e-01]
34,155.63369212283894,LFP-HighV,"Graphite, Birkl2015","SIB-NMF, cathode_charge_data",[9.62964972e-35 9.35508000e-01 2.39246986e-01 1.00000000e+00]
35,155.3488679655312,LFP-HighV,"Graphite, Birkl2015","SIB-NMF, cathode_discharge_data",[-6.77626358e-21  7.14418632e-01  3.97695746e-01  1.00000000e+00]
36,714.5448508636612,LFP-HighV,"Graphite, Chaouachi2021","LCO, Doyle2003",[ 2.42174614e-18  7.00000000e-01 -1.30104261e-18  7.00000000e-01]
37,706.2254797868828,LFP-HighV,"Graphite, Chaouachi2021","LCO, Jiang2016",[-3.06233767e-18  7.00000000e-01 -6.07153217e-18  7.00000000e-01]
38,662.42732107479,LFP-HighV,"Graphite, Chaouachi2021","LCO, Kumaresan2008",[-3.30627469e-18  7.00000000e-01 -6.93889390e-18  7.00000000e-01]
39,716.7921189442268,LFP-HighV,"Graphite, Chaouachi2021","LCO, Tang2019",[-1.86482774e-17  7.00000000e-01 -1.73472348e-17  7.00000000e-01]
40,798.1311719157592,LFP-HighV,"Graphite, Chaouachi2021","LFP, Const",[2.22441238e-20 7.00000000e-01 1.86402127e-01 8.15751400e-01]
41,773.8774222106317,LFP-HighV,"Graphite, Chaouachi2021","LFP, Delacourt2011",[-4.44217584e-17  7.00000000e-01 -4.44522891e-17  7.00000000e-01]
42,773.8774222106317,LFP-HighV,"Graphite, Chaouachi2021","LFP, Farkhondeh2014",[-4.44217584e-17  7.00000000e-01 -4.44522891e-17  7.00000000e-01]
43,773.8774222106317,LFP-HighV,"Graphite, Chaouachi2021","LFP, HighV",[-4.44217584e-17  7.00000000e-01 -4.44522891e-17  7.00000000e-01]
44,808.9739027767428,LFP-HighV,"Graphite, Chaouachi2021","LFP, Kashkooli2016",[ 0.00000000e+00  7.00000000e-01 -5.46437895e-17  7.00000000e-01]
45,392.1820635276036,LFP-HighV,"Graphite, Chaouachi2021","LFP, Prada2012",[1.75781250e-02 7.00000000e-01 2.16840434e-23 7.00000000e-01]
46,440.3878761920909,LFP-HighV,"Graphite, Chaouachi2021","LFP, Srinivasan2004a",[ 0.00000000e+00  1.00000000e+00 -4.33680869e-19  7.00000000e-01]
47,773.8774222106317,LFP-HighV,"Graphite, Chaouachi2021","LFP, Thorat2011",[-4.44217584e-17  7.00000000e-01 -4.44522891e-17  7.00000000e-01]
48,677.4659134292046,LFP-HighV,"Graphite, Chaouachi2021","LMO, Albertus2009",[-7.54955783e-18  7.00000000e-01 -1.38777878e-17  7.00000000e-01]
49,577.5119429812509,LFP-HighV,"Graphite, Chaouachi2021","LMO, Das2004",[-2.96326006e-17  7.00000000e-01 -3.29597460e-17  7.00000000e-01]
50,725.3230349743477,LFP-HighV,"Graphite, Chaouachi2021","LMO, Doyle1996",[-3.55210382e-17  7.00000000e-01 -3.64291930e-17  7.00000000e-01]
51,666.117202016544,LFP-HighV,"Graphite, Chaouachi2021","NCA, Abraham2008",[ 1.81630961e-18  7.00000000e-01 -7.95630186e-20  7.00000000e-01]
52,449.59379261569,LFP-HighV,"Graphite, Chaouachi2021","NCA, Albertus2009",[-6.41504350e-18  7.00000000e-01 -5.20417043e-18  7.00000000e-01]
53,763.4228565201961,LFP-HighV,"Graphite, Chaouachi2021","NCA, Dees2008",[-1.04083409e-17  7.00000000e-01 -1.04083409e-17  7.00000000e-01]
54,408.29061559892085,LFP-HighV,"Graphite, Chaouachi2021","NCA, Hust2019",[-6.61381746e-18  7.00000000e-01 -1.12757026e-17  7.00000000e-01]
55,787.9071367223196,LFP-HighV,"Graphite, Chaouachi2021","NCA, Kim2011",[-1.56125113e-18  7.00000000e-01 -1.56125113e-18  7.00000000e-01]
56,576.0509353037745,LFP-HighV,"Graphite, Chaouachi2021","NCO46, Ecker2015",[-1.25767452e-17  7.00000000e-01 -1.07110591e-17  7.00000000e-01]
57,585.495871924278,LFP-HighV,"Graphite, Chaouachi2021","NMC, Birkl2015",[-1.95156391e-18  7.00000000e-01 -5.80960696e-18  7.00000000e-01]
58,528.8691054085234,LFP-HighV,"Graphite, Chaouachi2021","NMC, Dufour2018",[-8.89045781e-18  7.00000000e-01 -1.36973332e-17  7.00000000e-01]
59,705.6295492570973,LFP-HighV,"Graphite, Chaouachi2021","NMC, Ferraro2020",[-1.49619900e-17  7.00000000e-01 -1.21430643e-17  7.00000000e-01]
60,575.8698133170049,LFP-HighV,"Graphite, Chaouachi2021","NMC, Liebig2019",[-9.75781955e-18  7.00000000e-01 -1.21430643e-17  7.00000000e-01]
61,773.8774222106317,LFP-HighV,"Graphite, Chaouachi2021","NMC, Smith2006",[-4.44217584e-17  7.00000000e-01 -4.44522891e-17  7.00000000e-01]
62,591.3424485475064,LFP-HighV,"Graphite, Chaouachi2021","NMC111, Ko2019",[-3.68628739e-17  7.00000000e-01 -3.64291930e-17  7.00000000e-01]
63,443.43489989036493,LFP-HighV,"Graphite, Chaouachi2021","NMC111, Schmalstieg2018",[0.  0.7 0.  0.7]
64,226.63988056334975,LFP-HighV,"Graphite, Chaouachi2021","NMC111, Wu2012",[1.36534022e-02 7.00000000e-01 1.06910588e-50 7.00000000e-01]
65,719.8935946137937,LFP-HighV,"Graphite, Chaouachi2021","NMC523, Verma2017",[-3.07913417e-17  7.00000000e-01 -3.19120452e-17  7.00000000e-01]
66,554.8608675395112,LFP-HighV,"Graphite, Chaouachi2021","NMC622, Chaouachi2021",[-6.72205347e-18  7.00000000e-01 -1.13164957e-17  7.00000000e-01]
67,367.9158321295546,LFP-HighV,"Graphite, Chaouachi2021","NMC622, Gao2018",[-6.9388939e-18  7.0000000e-01 -6.9388939e-18  7.0000000e-01]
68,535.4468958163201,LFP-HighV,"Graphite, Chaouachi2021","NMC811, Chen2020",[-1.86482774e-17  7.00000000e-01 -1.76499530e-17  7.00000000e-01]
69,462.05525812909525,LFP-HighV,"Graphite, Chaouachi2021","NMC811, Sturm2019",[-8.97633565e-18  7.00000000e-01 -8.67361738e-18  7.00000000e-01]
70,155.73001242292446,LFP-HighV,"Graphite, Chaouachi2021","SIB-NMF, cathode_charge_data",[0.         0.7        0.26887923 1.        ]
71,155.751754571794,LFP-HighV,"Graphite, Chaouachi2021","SIB-NMF, cathode_discharge_data",[-8.47032947e-22  7.00000000e-01  3.99711719e-01  1.00000000e+00]
72,713.0717023601989,LFP-HighV,"Graphite, Dufour2018","LCO, Doyle2003",[-9.86623977e-18  7.00000000e-01 -6.93889390e-18  7.00000000e-01]
73,706.7202739430134,LFP-HighV,"Graphite, Dufour2018","LCO, Jiang2016",[ 9.20504905e-19  7.00000000e-01 -3.46944695e-18  7.00000000e-01]
74,660.3442742684081,LFP-HighV,"Graphite, Dufour2018","LCO, Kumaresan2008",[-1.18178037e-17  7.00000000e-01 -1.21430643e-17  7.00000000e-01]
75,721.7801271341903,LFP-HighV,"Graphite, Dufour2018","LCO, Tang2019",[ 0.00000000e+00  7.00000000e-01 -6.24500451e-17  7.00000000e-01]
76,801.9214590863855,LFP-HighV,"Graphite, Dufour2018","LFP, Const",[1.65441502e-19 7.00000000e-01 2.72850944e-01 7.27036302e-01]
77,766.242944711341,LFP-HighV,"Graphite, Dufour2018","LFP, Delacourt2011",[-2.77555756e-17  7.00000000e-01  1.73472348e-18  7.00000000e-01]
78,766.242944711341,LFP-HighV,"Graphite, Dufour2018","LFP, Farkhondeh2014",[-2.77555756e-17  7.00000000e-01  1.73472348e-18  7.00000000e-01]
79,766.242944711341,LFP-HighV,"Graphite, Dufour2018","LFP, HighV",[-2.77555756e-17  7.00000000e-01  1.73472348e-18  7.00000000e-01]
80,804.139763815985,LFP-HighV,"Graphite, Dufour2018","LFP, Kashkooli2016",[0.00000000e+00 7.00000000e-01 1.73472348e-18 7.00000000e-01]
81,394.94194194993867,LFP-HighV,"Graphite, Dufour2018","LFP, Prada2012",[4.88281250e-03 1.00000000e+00 3.85293073e-24 7.00000000e-01]
82,456.7329388098283,LFP-HighV,"Graphite, Dufour2018","LFP, Srinivasan2004a",[-2.40741243e-35  1.00000000e+00  9.08506863e-02  7.00000000e-01]
83,766.242944711341,LFP-HighV,"Graphite, Dufour2018","LFP, Thorat2011",[-2.77555756e-17  7.00000000e-01  1.73472348e-18  7.00000000e-01]
84,671.8912747767554,LFP-HighV,"Graphite, Dufour2018","LMO, Albertus2009",[0.00000000e+00 7.00000000e-01 1.73472348e-18 7.00000000e-01]
85,575.4575140812979,LFP-HighV,"Graphite, Dufour2018","LMO, Das2004",[-8.99887803e-18  7.00000000e-01 -8.67361738e-18  7.00000000e-01]
86,722.1424367124929,LFP-HighV,"Graphite, Dufour2018","LMO, Doyle1996",[-1.56972724e-17  7.00000000e-01 -1.56125113e-17  7.00000000e-01]
87,657.8284515340888,LFP-HighV,"Graphite, Dufour2018","NCA, Abraham2008",[-2.42174614e-18  7.00000000e-01 -3.49822006e-19  7.00000000e-01]
88,452.9122872975802,LFP-HighV,"Graphite, Dufour2018","NCA, Albertus2009",[-8.13151629e-18  7.00000000e-01 -6.93889390e-18  7.00000000e-01]
89,762.3549014293487,LFP-HighV,"Graphite, Dufour2018","NCA, Dees2008",[-6.93889390e-18  7.00000000e-01 -8.67361738e-18  7.00000000e-01]
90,420.8546821526223,LFP-HighV,"Graphite, Dufour2018","NCA, Hust2019",[-1.73472348e-18  7.00000000e-01 -3.03576608e-18  7.00000000e-01]
91,783.87937160165,LFP-HighV,"Graphite, Dufour2018","NCA, Kim2011",[-8.32667268e-17  7.00000000e-01 -2.94902991e-17  7.00000000e-01]
92,576.2875936357188,LFP-HighV,"Graphite, Dufour2018","NCO46, Ecker2015",[-1.04083409e-17  7.00000000e-01 -9.75781955e-18  7.00000000e-01]
93,587.5882003846174,LFP-HighV,"Graphite, Dufour2018","NMC, Birkl2015",[-3.46944695e-18  7.00000000e-01 -3.46944695e-18  7.00000000e-01]
94,537.8845558814725,LFP-HighV,"Graphite, Dufour2018","NMC, Dufour2018",[-1.38777878e-17  7.00000000e-01 -1.16009632e-17  7.00000000e-01]
95,706.3154220288176,LFP-HighV,"Graphite, Dufour2018","NMC, Ferraro2020",[ 5.71756605e-18  7.00000000e-01 -3.46944695e-18  7.00000000e-01]
96,583.8159002561025,LFP-HighV,"Graphite, Dufour2018","NMC, Liebig2019",[-6.9388939e-18  7.0000000e-01 -3.7947076e-18  7.0000000e-01]
97,766.242944711341,LFP-HighV,"Graphite, Dufour2018","NMC, Smith2006",[-2.77555756e-17  7.00000000e-01  1.73472348e-18  7.00000000e-01]
