"SOC in %" U[V]
0.0 2.01138260901375
0.011579183402606358 2.08751063604813
0.023157841049458512 2.15238163652856
0.03473655886312741 2.2121011163826
0.046315094241648376 2.26819545209215
0.05789363454307482 2.32104623777768
0.06947245262521107 2.37141666168013
0.08105102618025578 2.4193067237995
0.0926297989217801 2.46452562707556
0.10420838198743973 2.50726416856855
0.11578745524701403 2.54714075415799
0.1273660195308916 2.58510936914507
0.1389447292322902 2.62231479589119
0.1505232862754613 2.65799384615543
0.16210194584741972 2.69062014345588
0.1736806230231099 2.71866731131065
0.1852595834579205 2.74270774090046
0.19683864979285445 2.76388621458672
0.20841730925946142 2.7825843264899
0.21999618980705898 2.79880207661001
0.23157529887748118 2.81349345024822
0.24315379629975362 2.82646765034431
0.2547324140461019 2.83867866219945
0.2663108636088353 2.85088967405459
0.27788952126526567 2.86271909178925
0.2894679863916905 2.87473930658415
0.3010465445650224 2.88504234783693
0.3126255884690849 2.89400980966805
0.32420396380500616 2.90202328619798
0.33578281188435577 2.91003676272792
0.34736175743549075 2.91957661573974
0.35894064427560385 2.93102443935394
0.37051965032877965 2.94552501593192
0.3820989436732816 2.96231515723273
0.39367748976918765 2.98063167501544
0.4052561354727002 2.99990217809933
0.41683490026477776 3.02031746354465
0.42841345775809225 3.04092354605019
0.43999213229992273 3.06210201973645
0.4515702199231105 3.08366208754318
0.4631487100663622 3.10617614065109
0.4747270572056583 3.12888099081924
0.4863053120546815 3.15177663804763
0.4978837586483518 3.17486308233625
0.5094621670559024 3.19852191780559
0.5210406000588698 3.22198995621468
0.5326189725789527 3.24564879168402
0.544197278812095 3.26949842421358
0.5557752277795771 3.29353885380339
0.5673533042447941 3.31681609515225
0.5789312221423639 3.33971174238064
0.5905088590123974 3.3629889837295
0.6020865128061555 3.38588463095788
0.6136645775004346 3.4083986840658
0.6252420764139375 3.43072194011347
0.6368194394109575 3.45170961673949
0.6483970512545844 3.47250649630528
0.6599745750699948 3.49273098469035
0.6715519382681411 3.51238308189472
0.6831294143197945 3.53279836734003
0.6947070855640375 3.55206887042392
0.7062847225011212 3.572293358809
0.7178624278130756 3.59251784719407
0.7294402296486348 3.61236074145867
0.7410176001449464 3.63373001220517
0.752595131191485 3.65490848589142
0.7641724953952931 3.6772317419391
0.775749876609009 3.7006997803482
0.787327297455055 3.72416781875729
0.7989048727503578 3.74935303070852
0.8104822514547246 3.77549222796092
0.8220597545440874 3.80296700463499
0.8336373342451121 3.83082337542953
0.8452147890631053 3.85906134034454
0.8567921666468897 3.88672691407884
0.8683696027692959 3.91153053190959
0.87994704939839 3.93423538207774
0.8915246292526483 3.95407827634234
0.90310220568769 3.97239479412505
0.9146797359775944 3.98842174718492
0.9262574725510206 4.00158674434124
0.9378349101100754 4.01303456795543
0.9481954998603226 4.00826464144952
0.9585560778492117 4.0050210914255
0.9689167789684264 4.00311312082313
0.9792775011201664 4.00101435316053
0.9896387241161734 3.99986957079911
1.0 3.99796160019675
