"SOC in %" U[V]
0.0 2.63917314369807
0.009580889462445227 2.88960563178621
0.01916159562858328 2.99775126830257
0.028742472936294488 3.06946689322346
0.03832316235695793 3.12363507800414
0.04790396002060786 3.16616854703968
0.05748470062913268 3.20050049514011
0.06706537800606459 3.22109966400036
0.0766460857024487 3.22701238839544
0.08622690337820586 3.22949191798047
0.09580758808128367 3.2315899814755
0.10538828501045208 3.23387877801552
0.11496903320677612 3.23769343891557
0.12454974893496089 3.24208029895063
0.13413047203686057 3.24703935812069
0.14371136700183682 3.25257061642576
0.15329201895927583 3.25810187473083
0.1628726522921344 3.2640145991259
0.17245326635024993 3.27011805656598
0.18203387865612175 3.27545858182605
0.19161446668423376 3.2800361749061
0.20119515075301458 3.28480450103116
0.21077582541039835 3.28957282715622
0.220356614312798 3.29415042023628
0.2299371521600014 3.29777434809133
0.23951771862990173 3.30101680985637
0.24909829218808704 3.30330560639639
0.2586788819605209 3.30597586902643
0.2682594608230283 3.30788319947645
0.27784009840568236 3.30921833079147
0.28742074910244686 3.30998126297148
0.2970013570792387 3.31093492819649
0.3065819632086354 3.3116978603765
0.31616250266536083 3.3120793264665
0.32574323881795214 3.31246079255651
0.3353239154812928 3.31303299169152
0.34490465157837985 3.31303299169152
0.35448525286332155 3.31360519082652
0.36406586227520804 3.31360519082652
0.3736464862125279 3.31398665691653
0.3832270374989176 3.31455885605154
0.3928075992591554 3.31513105518654
0.40238815409761747 3.31589398736655
0.41196874696225405 3.31627545345656
0.4215494229595883 3.31703838563657
0.4311300478087071 3.31741985172657
0.4407108831258794 3.31780131781658
0.45029157323634533 3.31894571608659
0.45987216371443396 3.3197086482666
0.46945282762045915 3.32066231349161
0.4790334092897382 3.32161597871662
0.4886140811958473 3.32314184307664
0.4981946452950568 3.32466770743666
0.5077753087174346 3.32619357179668
0.5173558676709094 3.32829163529171
0.5269365749470722 3.33077116487674
0.5365172006921328 3.33325069446177
0.5460979962229565 3.33611169013681
0.5556785798585538 3.33840048667683
0.565259152393928 3.34068928321686
0.574839859551158 3.34221514757688
0.5844204284631143 3.3435502788919
0.5940010375023547 3.34469467716191
0.6035816241905076 3.34545760934192
0.6131622645164986 3.34602980847693
0.6227428258248046 3.34679274065694
0.6323235591468295 3.34717420674694
0.6419041720235721 3.34736493979195
0.6514847537245593 3.34793713892695
0.6610653253957096 3.34850933806196
0.670645971945752 3.34870007110696
0.6802266497349845 3.34908153719697
0.6898072079907275 3.34927227024197
0.6993878669016578 3.34946300328697
0.7089684729834782 3.34965373633197
0.718549034022204 3.35003520242198
0.7281296320960113 3.34984446937698
0.7377102165324149 3.35022593546698
0.7472907592002748 3.35041666851198
0.7568713800453919 3.35079813460199
0.766451943660954 3.35098886764699
0.7760325257742345 3.35098886764699
0.7856131215249272 3.351370333737
0.7951936793366603 3.351561066782
0.8047743189014995 3.351561066782
0.8143548899700964 3.35213326591701
0.8239355054553507 3.35213326591701
0.8335161490876104 3.35232399896201
0.843096698201545 3.35270546505201
0.8526772843029505 3.35289619809702
0.8622578271135564 3.35327766418702
0.87183836318472 3.35346839723202
0.8814189536548952 3.35423132941203
0.8909995747299209 3.35480352854704
0.9005802208755993 3.35518499463704
0.9101609305938595 3.35594792681705
0.9197414974839482 3.35690159204207
0.9289125598640919 3.35690159204207
0.9379459302003722 3.35728305813207
0.9469114219223222 3.35861818944709
0.955832345550048 3.3599533207621
0.9647195328341218 3.36205138425713
0.9735784803644295 3.36510311297717
0.9824116663437261 3.36891777387722
0.9912199568981677 3.37425829913728
1.0 3.38226908702738
